Data Nascimento,Sexo,Raça,Estrangeiro,Nacionalidade,Naturalidade,UF Naturalidade,Período,Situação atual,Data ocorrência,Estrutura,Período ingresso,Tipo ingresso,IMI,Coeficiente,Tipo de demanda,rga_anonimo
2000-01-14,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,ARAGARCAS,GO,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20181,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),56.7,5.49,L6 - Estudante preto pardo ou indígena de escola pública,af05b362ddb9224c4589b23cbf119b60ce7e26300b6a3a2ec1bd2a4de86b098c
1997-04-26,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,SAO JOSE DO JACUIPE,BA,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2023-11-10,20191,20171,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),35.8,4.42,Ampla Concorrência,208844f5f871e3b92a344f0a6f7782b209872e5667ea13efbede45cc26cb7a97
1999-09-04,Masculino,Negra,Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-12-01,20191,20171,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),50.1,5.93,Ampla Concorrência,157770a9bd112bd511d5fed47b295121e2be2e9d082f84c7ee9d706baf28160e
1994-06-05,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,SAO JOSÉ DO XINGU,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2023-11-10,20191,20131,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),59.7,7.03,L4 - Estudante preto pardo ou indígena de escola pública,71260f57df37913cf04b8a5f882737c071c9313b201158471e507f556ef7acb2
2004-05-24,Feminino,Branca,Não,BRASILEIRO,GOIANIA,GO,20232,AFASTAMENTO POR TRANCAMENTO DE MATRICULA,2023-11-30,20191,20221,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,50.8,4.78,Ampla Concorrência,d517234d3868dee3fc27d4ff1dee463e9d68b45d51ad228d1d102c2a717ddabc
2001-12-09,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,CUIABA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20201,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),79.5,6.6,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",82de88a9b8b585a4b15693305e06cdeffe96f42ed1bb0d04a254929aae2a88d8
2002-06-07,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20221,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),40.6,4.1,L6 - Estudante preto pardo ou indígena de escola pública,06798767ef945057f1fe2ce7c8d300cd13489513bae7db508c6337ba502bcc61
1999-05-01,Masculino,Branca,Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20181,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),7.6,2.08,L5 - Estudante de escola pública,19eb01a83c541e925f1c3f3d2d6ab74bc197f53d7e09b1889723c2c4aeabcb77
2005-03-12,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),68.6,4.99,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",7894ee0cc4b122fc6160b44d986f7513fdc6d17ff2f219842ab3ae442f86648a
2004-11-10,Feminino,Não Informado,Não,BRASILEIRO,CONFRESA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),15.2,2.55,Ampla Concorrência,41b26c65e85eb112f4cf57669f8d314c1c686eed26780e34847e9a0f841ac594
1970-08-29,Feminino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,BRASILIA,DF,20232,AFASTAMENTO POR TRANCAMENTO DE MATRICULA,2023-11-30,20191,20211,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),40.0,3.42,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",12fb7ec28ac77ae7a50860a5555f7b92ef2cf12bcf537ddcab8e5cefa86135a7
2005-11-08,Feminino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,PIRANHAS,GO,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),61.0,5.75,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",f837e10fbea21572db241ae4162b6de885e5e6b7858b8899185d8b7f3fc84437
2001-08-12,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,PIMENTA BUENO,RO,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20201,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),84.9,6.97,Ampla Concorrência,2c05732ae24510a0f84c0e3fc36ffbfbf0c818cd4c45531b67ece5b54baed0a1
2003-02-06,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,CANARANA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20211,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),67.0,5.46,Ampla Concorrência,c169413cb27fd886e0bc2c91aba66202518d36a3174f8a56cf070b4d7153fa3c
1998-08-31,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-11-17,20191,20161,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),50.3,5.47,L4 - Estudante preto pardo ou indígena de escola pública,785d86a56bc7fc89b3fe8c0d939637e6cb2bcc217dc0982b2e4f56d34883469c
2002-12-11,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20221,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),40.6,4.26,Ampla Concorrência,7ba5a7334de7b1126f461af723a07c780fc38280a1a36b78b9c51714e5b61b18
2004-04-02,Masculino,Branca,Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,7.6,1.43,L5 - Estudante de escola pública,2319a2bdd1ebd206ee2122486144722a3149b3183fd665693ad9b1e786e80746
2005-04-04,Masculino,Não Informado,Não,BRASILEIRO,SORRISO,MT,20232,MATRICULADO NO PERÍODO,2023-11-23,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),83.8,6.44,Ampla Concorrência,c044bf9eb392a53fe995917ba5d8e221f1702d0b9e53136e7d81bec019e4bf27
1999-09-23,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,SANTA TEREZINHA,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),6.1,1.73,L6 - Estudante preto pardo ou indígena de escola pública,ec9456e470382697e96c8a04a17a13f05ac27a28455f057b4611124b487bf1ee
2005-07-28,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,EUNAPOLIS,BA,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),83.8,6.02,Ampla Concorrência,1350e56c6971f3c358f6b7b545b3fdbebc9546f096592013784d68ba9766c2a4
2003-04-24,Feminino,Branca,Não,BRASILEIRO,SAO PAULO,SP,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20211,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),73.1,6.69,Ampla Concorrência,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393
2001-02-19,Feminino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,CUIABÁ,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),19.6,3.06,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",76e6d7defd3e872d20072580ea4423d4026f3b076060dfddc205957d192b5f5d
1995-12-30,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,POXOREO,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),24.8,3.98,"L1 - Renda igual ou inferior 1,5 salário mínimo e estudante de escola pública",6f773c629aa8fba681c9974b1c4136b9ac8ff0db9f48b3fd4a9e80423afce321
2003-06-03,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,RIO DE JANEIRO,RJ,20232,MATRICULADO NO PERÍODO,2023-12-01,20191,20211,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),32.4,4.0,Ampla Concorrência,5ea9d41bdc635eb3f1f3a6361292d179fdb27ccc6919a34adc58f95a7b540c78
1994-04-18,Masculino,Não Informado,Não,BRASILEIRO,Nova Xavantina - MT,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20181,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),61.0,4.57,Ampla Concorrência,7152b5338262765caeccb375999ecc2422c5369bc0155edc0a33c24d59bb9c85
2005-06-06,Feminino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,CUIABA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),83.8,6.23,"L1 - Renda igual ou inferior 1,5 salário mínimo e estudante de escola pública",980793c8cddca1c03f3c09f63e8ee72fb043d02bfafb1339bf00c171a92e0486
2001-08-30,Masculino,Negra,Não,BRASILEIRO,NOVA XAVANTINA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),41.9,4.13,Ampla Concorrência,6ab7dd030ffe4492e336f66411650733254f6f44bfc6ea0663eed658cfa4ea1c
